props,train_size,r2
0.01,1900,0.3565929183220947
0.05,9502,0.513126404302567
0.1,19005,0.5562919855155464
0.2,38010,0.6012413461410742
0.3,57015,0.6145870543217673
0.4,76020,0.6190154897643996
0.5,95025,0.6305066260551587
0.6,114030,0.6430525138980014
0.7,133035,0.6395674496527602
0.8,152040,0.0
0.9,171045,0.0
0.99,188150,0.0
